dealer_id,y/n
53201,Y
53234,Y
53251,Y
53867,Y
47302,Y
48460,Y
48945,Y
47239,Y
48920,Y
47231,Y
49227,Y
49212,Y
20633,Y
55010,Y
55011,Y
55006,Y
55007,Y
55008,Y
55249,Y
55245,Y
55246,Y
55247,Y
49909,Y
49910,Y
49911,Y
49912,Y
49913,Y
49914,Y
49915,Y
49916,Y
49917,Y
49918,Y
49919,Y
49920,Y
49921,Y
49922,Y
49892,Y
49893,Y
49894,Y
49895,Y
49896,Y
49897,Y
49898,Y
49899,Y
49900,Y
49901,Y
49902,Y
49903,Y
49904,Y
49905,Y
49906,Y
49907,Y
49908,Y
63693,Y
63691,Y
63690,Y
63689,Y
63688,Y
63685,Y
63684,Y
63683,Y
63681,Y
63679,Y
63678,Y
63762,Y
63763,Y
57236,Y
63457,Y
44847,Y
63929,Y
63642,Y
47299,Y
18356,Y
52709,Y
52941,Y
38501,Y
50867,Y
28348,Y
16372,Y
63945,Y
46002,Y
49358,Y
62979,Y
48969,Y
61650,Y
62029,Y
18191,Y
27167,Y
27170,Y
27456,Y
41373,Y
43469,Y
43702,Y
44888,Y
52097,Y
36546,Y
46668,Y
23400,Y
59595,Y
59597,Y
59599,Y
59600,Y
59605,Y
59611,Y
59614,Y
59615,Y
59618,Y
59621,Y
59623,Y
59624,Y
63860,Y
59625,Y
59820,Y
59821,Y
59824,Y
59826,Y
59827,Y
59904,Y
60092,Y
30846,Y
56504,Y
30235,Y
61316,Y
62211,Y
60774,Y
48974,Y
57608,Y
43700,Y
56441,Y
33527,Y
49817,Y
48459,Y
49809,Y
42752,Y
43842,Y
48977,Y
36192,Y
63949,Y
60998,Y
63882,Y
62563,Y
61916,Y
63913,Y
29810,Y
56988,Y
54303,Y
56917,Y
56894,Y
52871,Y
57964,Y
18810,Y
61933,Y
48303,Y
36118,Y
27451,Y
34651,Y
50961,Y
49420,Y
56920,Y
38340,Y
56953,Y
27688,Y
48320,Y
27429,Y
56981,Y
34766,Y
52388,Y
49495,Y
36111,Y
49512,Y
48331,Y
63942,Y
29637,Y
48348,Y
48349,Y
27705,Y
56921,Y
49556,Y
48354,Y
61657,Y
51505,Y
40687,Y
40691,Y
40705,Y
40703,Y
40689,Y
40707,Y
40698,Y
40697,Y
40706,Y
40696,Y
40699,Y
40700,Y
45617,Y
53398,Y
45616,Y
53399,Y
45697,Y
33319,Y
33690,Y
37757,Y
49467,Y
50374,Y
